,mating.ID,cohort,female.ID,female.group,female.age,female.wt,male.ID,male.qual,male.age,male.wt,mating.order,date,scorer,gift.wt,trial.dur,female.aggression,male.w.gift,mating.success,gift.acceptance,signal,wrapping,rubbing,latency.gift,latency.cop,cop.duration
1,116x85,1,116,HL,12,0.1347,85,H,15,0.067,1,5/16/2023,DB,NA,2650,N,1,1,0,0,0,1,NA,87,390
2,116x86,1,116,HL,12,0.1347,86,L,15,0.0788,2,5/17/2023,MMO,0.014,6453,N,1,1,1,0,0,1,529,606,3869
3,122x75,1,122,LH,12,0.1818,75,L,15,0.0703,1,5/16/2023,DB,0.0078,2156,N,1,1,1,0,0,0,293,559,221
4,122x76,1,122,LH,12,0.1818,76,H,24,0.0621,2,5/17/2023,MMO,0.0085,1567,Y,1,0,0,0,0,0,NA,NA,0
5,123x86,1,123,LH,13,0.1215,86,L,15,0.0788,1,5/16/2023,DB,0.0069,2793,N,0,1,1,1,1,1,2092,162,1252
6,123x89,1,123,LH,13,0.1215,89,H,15,0.0854,2,5/17/2023,MMO,0.0112,2399,N,0,1,1,0,0,0,64,243,685
7,124x20,1,124,HL,12,0.1222,20,L,19,0.0754,2,5/17/2023,MMO,0.0168,2459,N,0,1,1,0,0,1,916,545,1244
8,124x76,1,124,HL,12,0.1222,76,H,24,0.0621,1,5/16/2023,DB,0.0235,2403,N,0,0,0,0,0,0,NA,NA,0
9,46x25,1,46,HL,15,0.1645,25,H,20,0.0908,1,5/16/2023,MMO,0.0137,2448,N,0,0,1,1,1,1,237,NA,0
10,46x80,1,46,HL,15,0.1645,80,L,15,0.0832,2,5/17/2023,MMO,0.012,6595,N,1,1,1,1,0,1,301,383,5602
11,87x77,1,87,LH,15,0.1755,77,H,15,0.1027,2,5/17/2023,MMO,0.0075,2406,N,1,0,0,1,0,1,NA,NA,0
12,87x90,1,87,LH,15,0.1755,90,L,19,0.108,1,5/16/2023,MMO,0.0043,4770,N,1,1,1,1,0,1,608,691,3880
13,92x20,1,92,LH,15,0.1554,20,L,19,0.0754,1,5/16/2023,DB,0.008,4931,N,0,1,1,0,0,0,70,107,4084
14,92x25,1,92,LH,15,0.1554,25,H,20,0.0908,2,5/17/2023,MMO,0.0084,2407,N,1,1,1,1,1,1,283,544,442
15,93x80,1,93,LH,11,0.1128,80,L,15,0.0832,1,5/16/2023,MMO,0.0145,2475,N,0,1,0,0,0,0,NA,173,45
16,93x85,1,93,LH,11,0.1128,85,H,15,0.067,2,5/17/2023,MMO,0.0092,2943,N,1,1,1,0,0,0,16,928,1981
17,95x77,1,95,HL,12,0.169,77,H,15,0.1027,1,5/16/2023,MMO,0.0099,1513,Y,0,1,1,0,0,0,279,426,305
18,95x90,1,95,HL,12,0.169,90,L,19,0.108,2,5/17/2023,MMO,0.0042,2379,N,0,0,0,0,0,0,NA,NA,0
19,99x75,1,99,HL,11,0.1265,75,L,15,0.0703,2,5/17/2023,MMO,0.0139,2386,N,1,1,1,0,0,0,8,422,1248
20,99x89,1,99,HL,11,0.1265,89,H,15,0.0854,1,5/16/2023,MMO,0.0114,3706,N,1,1,1,1,0,0,502,656,1874
21,121x105,2,121,LH,12,0.1159,105,L,17,0.0988,1,5/19/2023,MMO,0.0064,2405,N,1,0,0,1,1,1,NA,NA,0
22,121x162,2,121,LH,12,0.1159,162,H,15,0.0827,2,5/20/2023,MMO,NA,2826,N,0,1,1,1,1,1,684,729,2094
23,128x108,2,128,HL,12,0.1512,108,L,18,0.117,2,5/20/2023,MMO,0.0178,286,Y,0,0,0,0,0,0,NA,NA,0
24,128x74,2,128,HL,12,0.1512,74,H,16,0.0752,1,5/19/2023,MMO,0.0057,2397,N,1,1,1,1,0,0,95,185,469
25,139x157,2,139,HL,12,0.1675,157,L,15,0.1126,2,5/20/2023,DB,0.0175,5706,N,1,1,1,0,0,0,24,160,4781
26,139x162,2,139,HL,12,0.1675,162,H,15,0.0827,1,5/19/2023,MMO,0.0072,4184,N,1,1,1,1,1,1,537,600,2979
27,144x113,2,144,LH,12,0.1292,113,H,15,0.0793,2,5/20/2023,DB,0.0174,2401,N,1,1,1,0,0,1,545,661,790
28,144x157,2,144,LH,12,0.1292,157,L,15,0.1126,1,5/19/2023,MMO,0.0137,2405,N,1,1,1,0,1,1,NA,611,33
29,149x109,2,149,LH,12,0.1753,109,L,18,0.1165,1,5/19/2023,MMO,0.0052,6017,N,1,1,1,0,0,1,262,650,4573
30,149x62,2,149,LH,12,0.1753,62,H,17,0.0671,2,5/20/2023,MMO,0.0049,1041,Y,0,0,0,0,0,0,1011,NA,0
31,155x108,2,155,LH,12,0.1591,108,L,18,0.117,1,5/19/2023,MMO,0.0071,4209,N,1,1,1,0,1,1,172,266,2042
32,155x113,2,155,LH,12,0.1591,113,H,15,0.0793,2,5/20/2023,MMO,0.0174,1363,Y,0,0,0,0,0,0,NA,NA,0
33,203x105,2,203,HL,12,0.1102,105,L,17,0.0988,2,5/20/2023,MMO,0.0147,2410,N,1,0,0,1,0,0,NA,NA,0
34,203x129,2,203,HL,12,0.1102,129,H,16,0.0683,1,5/19/2023,MMO,0.0056,4567,N,1,1,1,0,0,0,93,199,3730
35,44x64,2,44,LH,12,0.1852,64,L,15,0.0653,1,5/19/2023,MMO,0.009,2240,Y,1,1,1,0,0,1,591,728,953
36,44x74,2,44,LH,12,0.1852,74,H,16,0.0752,2,5/20/2023,MMO,0.0161,2447,N,1,0,1,1,0,0,309,NA,0
37,53x105,2,53,HL,12,0.1315,105,L,17,0.0988,2,5/20/2023,MMO,0.0147,5230,N,1,1,1,1,0,1,855,906,3624
38,53x113,2,53,HL,12,0.1315,113,H,15,0.0793,1,5/19/2023,MMO,0.0083,2441,N,1,1,1,1,0,0,232,286,768
39,56x109,2,56,HL,12,0.1243,109,L,18,0.1165,2,5/20/2023,DB,0.0043,3783,N,0,1,1,0,1,1,315,416,3176
40,56x62,2,56,HL,12,0.1243,62,H,17,0.0671,1,5/19/2023,MMO,0.0092,4334,N,1,1,1,0,0,1,256,361,2603
41,125x107,3,125,HL,14,0.1836,107,L,15,0.0841,2,5/23/2023,MMO,0.0061,2472,N,1,1,1,0,1,0,17,82,584
42,125x161,3,125,HL,14,0.1836,161,H,15,0.1031,1,5/22/2023,DB,0.0133,4041,N,0,1,1,1,1,1,812,262,3036
43,138x100,3,138,LH,13,0.1931,100,L,17,0.0965,1,5/22/2023,DB,0.0028,3228,N,1,1,1,1,1,1,378,597,1835
44,138x161,3,138,LH,13,0.1931,161,H,15,0.1031,2,5/23/2023,DB,0.0181,139,Y,0,0,0,0,0,0,NA,NA,0
45,141x135,3,141,LH,14,0.187,135,L,15,0.0911,1,5/22/2023,DB,0.0119,5412,N,1,1,1,1,0,1,870,1078,3144
46,141x159,3,141,LH,14,0.187,159,H,15,0.0853,2,5/23/2023,MMO,0.0105,104,Y,1,0,0,0,0,0,NA,NA,0
47,142x135,3,142,HL,14,0.1383,135,L,15,0.0911,2,5/23/2023,DB,0.0121,2431,N,1,1,1,0,0,0,54,285,1669
48,142x60,3,142,HL,14,0.1383,60,H,17,0.0585,1,5/22/2023,MMO,0.0064,2502,N,0,0,0,1,0,0,NA,NA,0
49,143x100,3,143,HL,13,0.2311,100,L,17,0.0965,2,5/23/2023,DB,0.0083,3857,N,0,1,1,1,0,1,501,730,2547
50,143x134,3,143,HL,13,0.2311,134,H,17,0.0853,1,5/22/2023,MMO,0.0082,2411,N,1,1,1,0,1,1,425,494,1032
51,153x133,3,153,HL,14,0.1741,133,L,15,0.0637,2,5/23/2023,DB,0.0104,61,Y,1,0,0,0,0,0,NA,NA,0
52,153x159,3,153,HL,14,0.1741,159,H,15,0.0853,1,5/22/2023,MMO,0.0073,4996,N,1,1,1,0,0,0,51,117,3562
53,42x118,3,42,HL,13,0.1294,118,L,15,0.0866,2,5/23/2023,DB,0.0047,2458,N,0,0,0,1,1,1,NA,NA,0
54,42x156,3,42,HL,13,0.1294,156,H,15,0.0882,1,5/22/2023,DB,0.0135,2317,N,0,1,1,1,0,1,442,120,1806
55,48x133,3,48,LH,13,0.1292,133,L,15,0.0637,1,5/22/2023,MMO,0.0029,2419,N,0,0,0,0,0,0,NA,NA,0
56,48x60,3,48,LH,13,0.1292,60,H,17,0.0585,2,5/23/2023,MMO,0.0118,2402,N,1,1,1,0,0,0,121,389,395
57,50x107,3,50,LH,14,0.1314,107,L,15,0.0841,1,5/22/2023,MMO,0.0152,3257,N,0,1,1,0,1,1,474,575,2613
58,50x134,3,50,LH,14,0.1314,134,H,17,0.0853,2,5/23/2023,MMO,0.0192,2410,N,1,0,0,1,1,1,NA,NA,0
59,94x118,3,94,LH,13,0.1673,118,L,15,0.0866,1,5/22/2023,DB,0.0052,3804,N,0,1,1,1,0,1,330,941,2306
60,94x156,3,94,LH,13,0.1673,156,H,15,0.0882,2,5/23/2023,MMO,0.0093,4531,N,1,1,1,0,0,0,41,613,3738
61,115x171,4,115,HL,15,0.1792,171,L,18,0.0932,2,5/26/2023,DB,0.0146,2404,N,1,0,0,1,1,1,NA,NA,0
62,115x230,4,115,HL,15,0.1792,230,H,17,0.0798,1,5/25/2023,DB,0.0047,2446,N,1,1,0,1,1,1,NA,1011,11
63,140x230,4,140,LH,16,0.1784,230,H,17,0.0798,2,5/26/2023,MMO,0.0047,2435,N,1,1,1,0,0,1,76,318,356
64,140x246,4,140,LH,16,0.1784,246,L,18,0.089,1,5/25/2023,DB,0.0068,3262,N,1,1,1,1,1,1,403,447,1920
65,145x218,4,145,HL,15,0.1979,218,H,17,0.0955,1,5/25/2023,MMO,0.0092,5090,N,0,1,1,1,1,1,667,893,4008
66,145x223,4,145,HL,15,0.1979,223,L,18,0.063,2,5/26/2023,DB,0.0028,2410,N,1,0,0,1,0,1,NA,NA,0
67,150x167,4,150,HL,16,0.1818,167,H,18,0.0929,1,5/25/2023,MMO,0.0078,4258,N,1,1,1,0,1,1,376,455,3734
68,150x240,4,150,HL,16,0.1818,240,L,17,0.1207,2,5/26/2023,DB,0.0056,2411,N,0,0,0,1,0,0,NA,NA,0
69,152x160,4,152,HL,16,0.2096,160,H,17,0.1214,1,5/25/2023,MMO,0.0092,5437,N,0,1,1,1,1,1,544,640,4750
70,152x163,4,152,HL,16,0.2096,163,L,18,0.1101,2,5/26/2023,MMO,0.0048,2398,N,1,0,0,1,0,1,NA,NA,0
71,178x160,4,178,LH,15,0.1933,160,H,17,0.1214,2,5/26/2023,MMO,0.007,4525,N,1,1,1,1,0,1,170,619,3575
72,178x240,4,178,LH,15,0.1933,240,L,17,0.1207,1,5/25/2023,DB,0.0058,5674,N,1,1,1,1,1,1,1075,1139,4293
73,184x170,4,184,HL,16,0.1748,170,H,18,0.096,1,5/25/2023,DB,0.0109,2744,N,0,1,1,0,0,1,158,295,2324
74,184x246,4,184,HL,16,0.1748,246,L,18,0.089,2,5/26/2023,DB,0.0071,2418,N,1,0,0,1,1,1,NA,NA,0
75,192x167,4,192,LH,16,0.1746,167,H,18,0.0929,2,5/26/2023,MMO,0.0213,2665,N,0,0,0,0,1,1,1739,NA,0
76,192x223,4,192,LH,16,0.1746,223,L,18,0.063,1,5/25/2023,MMO,0.0135,2423,N,0,0,0,1,0,0,NA,NA,0
77,194x170,4,194,LH,16,0.1618,170,H,18,0.096,2,5/26/2023,MMO,0.0104,2400,N,0,0,0,0,0,0,NA,NA,0
78,194x171,4,194,LH,16,0.1618,171,L,18,0.0932,1,5/25/2023,DB,0.0139,7290,N,0,1,1,0,1,1,520,589,5778
79,174x231,5,174,HL,17,0.1028,231,H,18,0.091,1,5/28/2023,DB,0.007,3121,N,0,1,1,1,0,0,250,449,2092
80,174x233,5,174,HL,17,0.1028,233,L,17,0.0836,2,5/29/2023,PH,0.0024,2397,N,0,0,0,0,0,0,NA,209,135
81,175x232,5,175,LH,17,0.129,232,H,19,0.083,2,5/29/2023,PH,0.0035,7573,N,0,1,1,1,0,0,1773,2819,4561
82,175x245,5,175,LH,17,0.129,245,L,18,0.1065,1,5/28/2023,DB,0.0052,4550,N,0,1,1,1,1,1,367,487,3743
83,176x221,5,176,HL,17,0.1474,221,H,17,0.0729,1,5/28/2023,DB,0.0069,795,Y,0,0,0,1,1,1,NA,NA,0
84,176x247,5,176,HL,17,0.1474,247,L,18,0.0731,2,5/29/2023,PH,0.0081,3470,N,1,1,1,1,0,0,1902,313,1940
85,188x234,5,188,HL,18,0.16,234,H,18,0.12,1,5/28/2023,DB,0.0064,5917,N,1,1,1,0,1,1,397,1044,4760
86,189x234,5,189,LH,18,0.1215,234,H,18,0.12,2,5/29/2023,PH,0.0106,2538,N,1,0,1,0,1,0,2344,NA,0
87,189x247,5,189,LH,18,0.1215,247,L,18,0.0731,1,5/28/2023,DB,0.0083,2401,N,1,1,1,1,1,0,603,671,1003
88,190x173,5,190,LH,18,0.1449,173,H,18,0.1096,2,5/29/2023,DB,0.0049,2459,N,0,0,0,0,0,0,NA,NA,0
89,190x228,5,190,LH,18,0.1449,228,L,19,0.1097,1,5/28/2023,DB,0.0063,4147,N,0,1,1,0,1,1,385,153,3120
90,193x221,5,193,LH,18,0.1651,221,H,17,0.0729,2,5/29/2023,DB,0.0167,8040,N,1,1,1,0,0,0,21,1409,6041
91,193x233,5,193,LH,18,0.1651,233,L,17,0.0836,1,5/28/2023,DB,0.0042,6677,N,0,1,1,1,1,1,1726,1805,4541
92,200x173,5,200,HL,18,0.1537,173,H,18,0.1096,1,5/28/2023,DB,0.0075,4132,N,1,1,1,1,1,1,410,545,2905
93,200x245,5,200,HL,18,0.1537,245,L,18,0.1065,2,5/29/2023,DB,0.014,3522,N,0,1,1,1,1,1,583,772,2501
94,51x231,5,51,LH,17,0.1594,231,H,18,0.091,2,5/29/2023,DB,0.0088,2433,N,0,0,0,1,0,0,NA,NA,0
95,51x81,5,51,LH,17,0.1594,81,L,18,0.0992,1,5/28/2023,DB,0.0089,3821,N,0,1,1,0,0,0,289,298,1975
96,71x228,5,71,HL,17,0.1276,228,L,19,0.1097,2,5/29/2023,DB,0.0061,2392,N,0,0,0,1,0,1,NA,NA,0
97,71x232,5,71,HL,17,0.1276,232,H,19,0.083,1,5/28/2023,DB,0.01,4916,N,1,1,1,1,0,1,466,597,3802
98,154x222,6,154,LH,24,0.1214,222,H,19,0.0798,2,6/1/2023,DB,0.0108,2403,N,0,0,0,1,1,1,NA,NA,0
99,154x248,6,154,LH,24,0.1214,248,L,13,0.1038,1,5/31/2023,DB,0.0182,2406,N,1,1,1,1,1,1,410,635,987
100,196x127,6,196,HL,19,0.1574,127,H,17,0.0958,1,5/31/2023,DB,0.0035,2465,N,0,1,1,0,1,1,1236,234,1251
101,196x219,6,196,HL,19,0.1574,219,L,19,0.0941,2,6/1/2023,DB,0.0152,7260,N,1,1,1,1,0,0,98,292,6672
102,197x236,6,197,LH,20,0.1472,236,L,20,0.111,1,5/31/2023,DB,0.0144,4101,N,1,1,1,0,0,0,139,500,2171
103,197x238,6,197,LH,20,0.1472,238,H,20,0.1025,2,6/1/2023,DB,0.0053,4554,N,0,1,1,1,1,1,646,847,3056
104,202x127,6,202,LH,20,0.1434,127,H,17,0.0958,2,6/1/2023,DB,0.0061,2392,N,1,1,1,0,0,0,16,38,379
105,202x219,6,202,LH,20,0.1434,219,L,19,0.0941,1,5/31/2023,DB,0.0031,2409,N,1,1,1,1,0,1,170,298,1798
106,208x249,6,208,HL,20,0.1648,249,H,13,0.1171,1,5/31/2023,DB,0.0031,4436,N,1,1,1,1,1,1,634,984,2815
107,208x266,6,208,HL,20,0.1648,266,L,19,0.0962,2,6/1/2023,DB,0.0156,6054,N,0,1,1,1,1,1,1701,1990,3742
108,209x249,6,209,LH,20,0.1919,249,H,13,0.1171,2,6/1/2023,DB,0.0047,3522,N,1,1,1,0,0,0,16,729,2097
109,209x250,6,209,LH,20,0.1919,250,L,13,0.0979,1,5/31/2023,DB,0.0034,4251,N,1,1,1,1,0,1,561,723,2653
110,213x250,6,213,HL,20,0.1533,250,L,13,0.0979,2,6/1/2023,DB,0.0122,4229,N,1,1,1,0,0,0,19,99,3406
111,213x59,6,213,HL,20,0.1533,59,H,16,0.0779,1,5/31/2023,DB,0.0069,2391,N,0,1,1,0,0,0,132,357,1318
112,263x236,6,263,HL,15,0.1464,236,L,20,0.111,2,6/1/2023,DB,0.0139,2411,N,0,0,0,1,0,0,NA,NA,0
113,263x238,6,263,HL,15,0.1464,238,H,20,0.1025,1,5/31/2023,DB,0.0068,3174,N,1,1,1,1,0,1,232,372,2223
114,91x222,6,91,HL,19,0.1231,222,H,19,0.0798,1,5/31/2023,DB,0.0107,4460,N,1,1,1,1,1,1,564,650,3712
115,91x248,6,91,HL,19,0.1231,248,L,13,0.1038,2,6/1/2023,DB,0.0125,5998,N,1,1,1,1,1,1,581,773,4785
